number,type,name,Lng,Lat
393,轨道交通线路,后村[地铁]站点,118.2679023,24.57576895
394,跨区常规公交线路,后树站点,118.2792971,24.60176872
395,岛内常规公交线路,后江埭站点,118.094567,24.46768165
396,跨区常规公交线路,后溪公交场站站点,118.0399567,24.63821945
397,跨区常规公交线路,后溪后垵路口站点,118.1178553,24.59764266
398,跨区常规公交线路,后溪新村站点,118.0182167,24.64602616
399,跨区常规公交线路,后溪正新站点,118.0399567,24.63821945
400,跨区常规公交线路,后溪站点,118.1507321,24.72835926
401,跨区常规公交线路,后珩站点,118.2795486,24.59160791
402,跨区常规公交线路,后田里站点,118.1244977,24.60613032
403,跨区常规公交线路,后詹站点,118.1242652,24.60719709
404,跨区常规公交线路,后郑站点,118.1137811,24.61423263
405,轨道交通线路,吕厝[地铁]站点,118.1332455,24.4949475
406,跨区常规公交线路,吕厝北站点,118.1220354,24.49591415
407,岛内常规公交线路,吕厝站点,118.1606782,24.66432471
408,岛内常规公交线路,吕厝西站点,118.1196798,24.49147593
409,岛内常规公交线路,吕岭路何厝站点,118.135892,24.49466338
410,岛内常规公交线路,吕岭路站点,118.135892,24.49466338
411,岛内常规公交线路,和宁路站点,118.0827407,24.49873296
412,差异化公交线路,和平码头站点,118.0729018,24.452235
413,跨区常规公交线路,和成路达站点,118.0288542,24.56311678
414,岛内常规公交线路,和旭路口站点,118.0836325,24.50150596
,,,,
416,定制公交线路,和通路口站点,118.0863302,24.49511405
417,岛内常规公交线路,和通里站点,118.0881444,24.49682882
418,定制公交线路,和顺里站点,118.0857888,24.49996292
419,跨区常规公交线路,和风小学站点,118.2265237,24.56398838
,,,,
421,跨区常规公交线路,啤酒厂站点,118.1650788,24.72686986
,,,,
,,,,
424,岛内常规公交线路,嘉园路站点,118.105632,24.51962365
425,岛内常规公交线路,嘉尚路口站点,118.1301359,24.55542027
,,,,
427,跨区常规公交线路,嘉庚体育馆站点,118.1019894,24.59041934
428,跨区常规公交线路,嘉庚公交场站站点,118.0675802,24.4667071
,,,,
430,岛内常规公交线路,嘉福社区站点,118.1106825,24.55148425
431,岛内常规公交线路,嘉禾园站点,118.0945434,24.47484587
432,岛内常规公交线路,嘉美花园站点,118.0743431,24.46666035
433,跨区常规公交线路,嘉裕幼儿园站点,118.0978415,24.529743
434,跨区常规公交线路,四口圳山前站点,118.1305594,24.6851307
435,跨区常规公交线路,四口圳站点,118.1305594,24.6851307
436,跨区常规公交线路,园博一里站点,118.1220558,24.50368928
437,跨区常规公交线路,园博三里站点,118.0547465,24.5855583
438,轨道交通线路,园博苑[地铁]站点,118.0600706,24.57470217
439,跨区常规公交线路,园博苑公交场站站点,118.0600706,24.57470217
440,跨区常规公交线路,园博苑南门站点,118.0600706,24.57470217
441,跨区常规公交线路,园博苑站点,118.0600706,24.57470217
442,跨区常规公交线路,园博苑西门站点,118.0586264,24.57346225
443,岛内常规公交线路,园山南路站点,118.1262879,24.50907006
444,跨区常规公交线路,园山站点,118.1279778,24.51292973
445,岛内常规公交线路,围里村口站点,118.1432776,24.53178797
446,岛内常规公交线路,围里社区站点,118.1392136,24.5305062
447,定制公交线路,围里站点,118.1461294,24.51542884
448,岛内常规公交线路,国家会计学院站点,118.1440304,24.44652417
,,,,
450,漳州城际公交线路,国税局站点,118.0546209,24.59688314
451,跨区常规公交线路,国贸中心站点,118.1759534,24.51017617
452,跨区常规公交线路,国贸新城站点,118.1675971,24.47472817
453,轨道交通线路,国际博览中心[地铁]站点,118.1165209,24.47799967
454,岛内常规公交线路,国际山庄站点,118.1489547,24.50662459
455,岛内常规公交线路,国际游艇汇站点,118.1782536,24.53225212
456,跨区常规公交线路,国际航运中心站点,118.0875419,24.51532049
,,,,
458,漳州城际公交线路,圣地亚哥站点,118.1592679,24.53428275
459,漳州城际公交线路,地铁东孚站站点,117.9287785,24.54766044
460,跨区常规公交线路,地铁五缘湾站站点,118.1623666,24.53560569
,,,,
462,漳州城际公交线路,地铁天竺山站站点,117.932304,24.58150394
463,跨区常规公交线路,地铁林前站站点,118.2265267,24.57836345
464,跨区常规公交线路,地铁海沧湾公园站站点,118.0488603,24.49007783
,,,,
,,,,
